Country or region,Region,Happiness Score,Economy (GDP per capita),Social support,Health (life expectancy),Freedom to make life choices,Generosity,Perceptions of corruption,Age Life,"Suicide rate (100,000)"
Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0,0.158,0.025,64.833,1747
Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027,78.573,182
Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114,76.88,1351
Angola,Sub-Saharan Africa,3.795,0.73,1.125,0.269,0,0.079,0.061,61.147,1448
Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05,76.667,4081
Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095,0.064,75.087,195
Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.332,0.29,83.436,3287
Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,81.544,1387
Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.035,0.182,73.005,259
Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11,77.292,93
Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143,72.591,9521
Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.094,0.142,74.791,2477
Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,81.628,2377
Benin,Latin America and Caribbean,4.883,0.393,0.437,0.397,0.349,0.175,0.082,61.771,1137
Bhutan,Sub-Saharan Africa,5.082,0.813,1.321,0.604,0.457,0.37,0.167,71.777,86
Bolivia,Southern Asia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,71.513,0
Bosnia and Herzegovina,Latin America and Caribbean,5.386,0.945,1.212,0.845,0.212,0.263,0.006,77.401,293
Botswana,Central and Eastern Europe,3.488,1.041,1.145,0.538,0.455,0.025,0.1,69.592,210
Brazil,Sub-Saharan Africa,6.3,1.004,1.439,0.802,0.39,0.099,0.086,75.881,13616
Bulgaria,Latin America and Caribbean,5.011,1.092,1.513,0.815,0.311,0.081,0.004,75.046,811
Burkina Faso,Central and Eastern Europe,4.587,0.331,1.056,0.38,0.255,0.177,0.113,61.577,1521
Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.176,0.18,61.584,1017
Cambodia,Sub-Saharan Africa,4.7,0.574,1.122,0.637,0.609,0.232,0.062,69.823,861
Cameroon,Southeastern Asia,5.044,0.549,0.91,0.331,0.381,0.187,0.037,59.292,3076
Canada,Sub-Saharan Africa,7.278,1.365,1.505,1.039,0.584,0.285,0.308,82.434,4634
Central African Republic,North America,3.083,0.026,0,0.105,0.225,0.235,0.035,53.283,359
Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078,54.239,1362
Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056,80.181,1985
China,Eastern Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1,76.912,138482
Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034,77.287,3576
Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.275,0.078,64.321,57
Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093,64.57,0
Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.212,0.053,64.57,0
Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093,80.279,395
Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022,78.488,686
Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041,80.982,63
Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,79.376,0
Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,80.898,736
Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101,74.081,1052
Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087,77.01,1213
Egypt,Middle East and Northern Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067,71.99,3937
El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074,73.317,880
Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161,78.745,235
Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1,66.597,7864
Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,81.908,878
France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183,82.659,11503
Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055,66.467,150
Gambia,Western Europe,4.516,0.308,0.939,0.428,0.382,0.269,0.167,62.05,116
Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043,0.164,73.767,328
Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,81.326,11305
Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04,64.074,1607
Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0,0.034,82.239,526
Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078,74.302,466
Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086,61.602,782
Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.419,0.11,64.001,1301
Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078,75.27,278
Hong Kong,Eastern Asia,5.43,1.438,1.277,1.122,0.44,0.258,0.287,84.857,0
Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02,76.875,1854
Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,82.993,47
India,Southern Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085,69.656,220481
Indonesia,Southeastern Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,71.716,9101
Iran,Middle East and Northern Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125,76.677,0
Iraq,Middle East and Northern Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089,70.604,1153
Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,82.305,554
Israel,Middle East and Northern Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082,82.972,453
Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03,83.512,4971
Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09,83.512,0
Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028,74.475,65
Japan,Eastern Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14,84.629,23532
Jordan,Middle East and Northern Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13,74.526,289
Kazakhstan,Central and Eastern Europe,5.809,1.173,1.508,0.729,0.41,0.146,0.096,73.597,4122
Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053,66.699,1645
Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006,68.369,0
Kuwait,Middle East and Northern Africa,6.021,1.5,1.319,0.808,0.493,0.142,0.097,75.489,95
Kyrgyzstan,Central and Eastern Europe,5.261,0.551,1.438,0.723,0.508,0.3,0.023,71.45,523
Laos,Southeastern Asia,4.796,0.764,1.03,0.551,0.547,0.266,0.164,67.923,0
Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064,75.292,409
Lebanon,Middle East and Northern Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027,78.93,226
Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.107,0.093,54.331,447
Liberia,Middle East and Northern Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033,64.104,328
Libya,Central and Eastern Europe,5.525,1.044,1.303,0.673,0.416,0.133,0.152,72.913,347
Lithuania,Western Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042,75.933,894
Luxembourg,Central and Eastern Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,82.25,82
Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041,67.041,1024
Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089,64.263,671
Malaysia,Southeastern Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,76.156,1734
Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052,59.306,916
Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151,82.53,33
Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088,64.925,194
Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06,74.991,99
Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073,75.054,6436
Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.181,0,71.901,0
Mongolia,Eastern Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,86.751,412
Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08,76.884,65
Morocco,Middle East and Northern Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076,76.68,1045
Mozambique,Sub-Saharan Africa,4.417,0.198,0.902,0.173,0.531,0.206,0.158,60.854,1445
Myanmar,Southeastern Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172,67.134,4189
Namibia,Sub-Saharan Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056,63.708,213
Nepal,Southern Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089,70.778,2472
Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,82.283,2150
New Zealand,Australia and New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,82.288,574
Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127,74.485,789
Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102,62.42,1032
Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041,54.687,18608
North Macedonia,Western Europe,5.274,0.983,1.294,0.838,0.345,0.185,0.034,76.735,0
Northern Cyprus,Western Europe,5.718,1.263,1.252,1.042,0.417,0.191,0.162,79.221,0
Norway,Southern Asia,7.554,1.488,1.582,1.028,0.603,0.271,0.341,82.404,651
Pakistan,Middle East and Northern Africa,5.653,0.677,0.886,0.535,0.313,0.22,0.098,67.273,6155
Palestinian Territories,Latin America and Caribbean,4.696,0.657,1.247,0.672,0.225,0.103,0.066,74.053,180
Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054,78.506,516
Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08,74.254,661
Peru,Southeastern Asia,5.697,0.96,1.274,0.854,0.455,0.083,0.027,76.736,1567
Philippines,Central and Eastern Europe,5.631,0.807,1.293,0.657,0.558,0.117,0.107,71.231,3413
Poland,Western Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05,78.73,6143
Portugal,Latin America and Caribbean,5.693,1.221,1.431,0.999,0.508,0.047,0.025,82.049,1436
Qatar,Middle East and Northern Africa,6.374,1.684,1.313,0.871,0.555,0.22,0.167,80.227,184
Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005,76.054,2029
Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.082,0.031,72.584,45178
Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.217,0.411,69.024,824
Saudi Arabia,Middle East and Northern Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132,75.133,1078
Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072,67.941,951
Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039,76.001,1373
Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045,54.696,742
Singapore,Southeastern Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453,83.62,570
Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014,77.542,698
Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057,81.324,386
Somalia,Sub-Saharan Africa,4.668,0,0.698,0.268,0.559,0.243,0.27,57.397,705
South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,64.131,6704
South Korea,Eastern Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056,83.033,13765
South Sudan,Sub-Saharan Africa,2.853,0.306,0.575,0.295,0.01,0.202,0.091,57.846,406
Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079,83.565,4062
Sri Lanka,Southern Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047,76.978,3099
Sudan,Sub-Saharan Africa,4.139,0.605,1.24,0.312,0.016,0.134,0.082,65.311,3386
Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,82.797,1476
Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,83.779,1466
Syria,Middle East and Northern Africa,3.462,0.619,0.378,0.44,0.013,0.331,0.141,72.697,0
Taiwan,Eastern Asia,6.446,1.368,1.43,0.914,0.351,0.242,0.097,80.456,0
Tajikistan,Central and Eastern Europe,5.467,0.493,1.098,0.718,0.389,0.23,0.144,71.097,228
Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147,65.456,0
Thailand,Southeastern Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028,77.15,9998
Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085,61.042,757
Trinidad & Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.185,0.016,73.507,189
Tunisia,Middle East and Northern Africa,4.461,0.921,1,0.815,0.167,0.059,0.055,76.699,393
Turkey,Middle East and Northern Africa,5.373,1.183,1.36,0.808,0.195,0.083,0.106,77.691,6011
Turkmenistan,Central and Eastern Europe,5.247,1.052,1.538,0.657,0.394,0.244,0.028,68.191,392
Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06,63.368,4230
Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.187,0.01,72.065,9911
United Arab Emirates,Middle East and Northern Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182,77.972,270
United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,81.321,0
United States,North America,6.892,1.433,1.457,0.874,0.454,0.28,0.128,78.862,0
Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15,77.911,635
Uzbekistan,Central and Eastern Europe,6.174,0.745,1.529,0.756,0.631,0.322,0.24,71.725,2403
Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047,72.064,0
Vietnam,Southeastern Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073,75.4,0
Yemen,Middle East and Northern Africa,3.38,0.287,1.163,0.463,0.143,0.108,0.077,66.125,2422
Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087,63.886,1058
Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089,61.49,1545
